Source Name	Material Type	Characteristics [BioSourceType]	Characteristics [CellLine]	Characteristics [CellType]	Characteristics [DevelopmentalStage]	Characteristics [DiseaseStage]	Characteristics [DiseaseState]	Characteristics [OrganismPart]	Characteristics [Organism]	Characteristics [Sex]	Labeled Extract Name	Material Type	Label	Hybridization Name	Array Design REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Comment[Normalization Type]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value [CELLLINE]	Factor Value [CELLTYPE]	Factor Value [DEVELOPMENTALSTAGE]	Factor Value [DISEASESTAGE]	Factor Value [DISEASESTATE]	Factor Value [ORGANISMPART]
1102960873.cel	organism_part	fresh_sample	  	effector memory CD4 T cell	  	  	  	blood	Homo sapiens	  	Labeled11 biotin	synthetic_DNA	biotin	Hyb_11	A-AFFY-33	1102960873.cel	1102960873.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.1.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	effector memory CD4 T cell	  	  	  	blood
1102960904.cel	organism_part	fresh_sample	  	effector memory CD4 T cell	  	  	  	blood	Homo sapiens	  	Labeled12 biotin	synthetic_DNA	biotin	Hyb_12	A-AFFY-33	1102960904.cel	1102960904.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.1.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	effector memory CD4 T cell	  	  	  	blood
1102960930.cel	organism_part	fresh_sample	  	CXCR5(hi)ICOS(hi) CD4 T cell	  	  	  	palatine tonsil	Homo sapiens	  	Labeled13 biotin	synthetic_DNA	biotin	Hyb_13	A-AFFY-33	1102960930.cel	1102960930.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.1.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	CXCR5(hi)ICOS(hi) CD4 T cell	  	  	  	palatine tonsil
1102960958.cel	organism_part	fresh_sample	  	CXCR5(hi)ICOS(hi) CD4 T cell	  	  	  	palatine tonsil	Homo sapiens	  	Labeled14 biotin	synthetic_DNA	biotin	Hyb_14	A-AFFY-33	1102960958.cel	1102960958.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.1.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	CXCR5(hi)ICOS(hi) CD4 T cell	  	  	  	palatine tonsil
1102960993.cel	organism_part	fresh_sample	  	CXCR5(hi)ICOS(hi) CD4 T cell	  	  	  	palatine tonsil	Homo sapiens	  	Labeled15 biotin	synthetic_DNA	biotin	Hyb_15	A-AFFY-33	1102960993.cel	1102960993.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.1.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	CXCR5(hi)ICOS(hi) CD4 T cell	  	  	  	palatine tonsil
1102961017.cel	organism_part	fresh_sample	  	CXCR5(lo)ICOS(int) CD4 T cell	  	  	  	palatine tonsil	Homo sapiens	  	Labeled16 biotin	synthetic_DNA	biotin	Hyb_16	A-AFFY-33	1102961017.cel	1102961017.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.1.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	CXCR5(lo)ICOS(int) CD4 T cell	  	  	  	palatine tonsil
1102961041.cel	organism_part	fresh_sample	  	CXCR5(lo)ICOS(int) CD4 T cell	  	  	  	palatine tonsil	Homo sapiens	  	Labeled17 biotin	synthetic_DNA	biotin	Hyb_17	A-AFFY-33	1102961041.cel	1102961041.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.1.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	CXCR5(lo)ICOS(int) CD4 T cell	  	  	  	palatine tonsil
1102961066.cel	organism_part	fresh_sample	  	CXCR5(lo)ICOS(int) CD4 T cell	  	  	  	palatine tonsil	Homo sapiens	  	Labeled18 biotin	synthetic_DNA	biotin	Hyb_18	A-AFFY-33	1102961066.cel	1102961066.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.1.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	CXCR5(lo)ICOS(int) CD4 T cell	  	  	  	palatine tonsil
1102961105.cel	organism_part	fresh_sample	  	CXCR5(-)ICOS(-/lo) CD4 T cell	  	  	  	palatine tonsil	Homo sapiens	  	Labeled19 biotin	synthetic_DNA	biotin	Hyb_19	A-AFFY-33	1102961105.cel	1102961105.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.1.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	CXCR5(-)ICOS(-/lo) CD4 T cell	  	  	  	palatine tonsil
1102961145.cel	organism_part	fresh_sample	  	CXCR5(-)ICOS(-/lo) CD4 T cell	  	  	  	palatine tonsil	Homo sapiens	  	Labeled20 biotin	synthetic_DNA	biotin	Hyb_20	A-AFFY-33	1102961145.cel	1102961145.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.1.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	CXCR5(-)ICOS(-/lo) CD4 T cell	  	  	  	palatine tonsil
1102961177.cel	organism_part	fresh_sample	  	CXCR5(-)ICOS(-/lo) CD4 T cell	  	  	  	palatine tonsil	Homo sapiens	  	Labeled21 biotin	synthetic_DNA	biotin	Hyb_21	A-AFFY-33	1102961177.cel	1102961177.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.1.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	CXCR5(-)ICOS(-/lo) CD4 T cell	  	  	  	palatine tonsil
1176547097.cel	organism_part	fresh_sample	  	  	  	  	primary hyperparathyroidism	bone	Homo sapiens	female	Labeled22 biotin	synthetic_DNA	biotin	Hyb_22	A-AFFY-33	1176547097.cel	1176547097.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.1.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	primary hyperparathyroidism	bone
1176547114.cel	organism_part	fresh_sample	  	  	  	  	normal	bone	Homo sapiens	female	Labeled23 biotin	synthetic_DNA	biotin	Hyb_23	A-AFFY-33	1176547114.cel	1176547114.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.1.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	normal	bone
1176547131.cel	organism_part	fresh_sample	  	  	  	  	primary hyperparathyroidism	bone	Homo sapiens	male	Labeled24 biotin	synthetic_DNA	biotin	Hyb_24	A-AFFY-33	1176547131.cel	1176547131.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.1.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	primary hyperparathyroidism	bone
1176547148.cel	organism_part	fresh_sample	  	  	  	  	normal	bone	Homo sapiens	male	Labeled25 biotin	synthetic_DNA	biotin	Hyb_25	A-AFFY-33	1176547148.cel	1176547148.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.1.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	normal	bone
1176547165.cel	organism_part	fresh_sample	  	  	  	  	primary hyperparathyroidism	bone	Homo sapiens	female	Labeled26 biotin	synthetic_DNA	biotin	Hyb_26	A-AFFY-33	1176547165.cel	1176547165.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.1.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	primary hyperparathyroidism	bone
1176547182.cel	organism_part	fresh_sample	  	  	  	  	normal	bone	Homo sapiens	female	Labeled27 biotin	synthetic_DNA	biotin	Hyb_27	A-AFFY-33	1176547182.cel	1176547182.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.1.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	normal	bone
1176547199.cel	organism_part	fresh_sample	  	  	  	  	primary hyperparathyroidism	bone	Homo sapiens	female	Labeled28 biotin	synthetic_DNA	biotin	Hyb_28	A-AFFY-33	1176547199.cel	1176547199.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.1.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	primary hyperparathyroidism	bone
1176547216.cel	organism_part	fresh_sample	  	  	  	  	normal	bone	Homo sapiens	female	Labeled29 biotin	synthetic_DNA	biotin	Hyb_29	A-AFFY-33	1176547216.cel	1176547216.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.1.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	normal	bone
1176547233.cel	organism_part	fresh_sample	  	  	  	  	primary hyperparathyroidism	bone	Homo sapiens	female	Labeled30 biotin	synthetic_DNA	biotin	Hyb_30	A-AFFY-33	1176547233.cel	1176547233.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.1.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	primary hyperparathyroidism	bone
1176547250.cel	organism_part	fresh_sample	  	  	  	  	normal	bone	Homo sapiens	female	Labeled31 biotin	synthetic_DNA	biotin	Hyb_31	A-AFFY-33	1176547250.cel	1176547250.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.1.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	normal	bone
1176547267.cel	organism_part	fresh_sample	  	  	  	  	primary hyperparathyroidism	bone	Homo sapiens	female	Labeled32 biotin	synthetic_DNA	biotin	Hyb_32	A-AFFY-33	1176547267.cel	1176547267.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.1.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	primary hyperparathyroidism	bone
1176547284.cel	organism_part	fresh_sample	  	  	  	  	normal	bone	Homo sapiens	female	Labeled33 biotin	synthetic_DNA	biotin	Hyb_33	A-AFFY-33	1176547284.cel	1176547284.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.1.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	normal	bone
1176547301.cel	organism_part	fresh_sample	  	  	  	  	normal	bone	Homo sapiens	female	Labeled34 biotin	synthetic_DNA	biotin	Hyb_34	A-AFFY-33	1176547301.cel	1176547301.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.1.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	normal	bone
1176547318.cel	organism_part	fresh_sample	  	  	  	  	primary hyperparathyroidism	bone	Homo sapiens	female	Labeled35 biotin	synthetic_DNA	biotin	Hyb_35	A-AFFY-33	1176547318.cel	1176547318.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.1.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	  	  	  	primary hyperparathyroidism	bone
305931877.cel	organism_part	frozen_sample	  	"mononuclear cells, blasts"	  	  	"Down syndrome, transient myleoproliferative disorder"	peripheral blood	Homo sapiens	male	Labeled36 biotin	synthetic_DNA	biotin	Hyb_36	A-AFFY-33	305931877.cel	305931877.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.1.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	"mononuclear cells, blasts"	  	  	"Down syndrome, transient myleoproliferative disorder"	peripheral blood
305931983.cel	organism_part	frozen_sample	  	"mononuclear cells, blasts"	  	  	"Down syndrome, transient myleoproliferative disorder"	peripheral blood	Homo sapiens	female	Labeled37 biotin	synthetic_DNA	biotin	Hyb_37	A-AFFY-33	305931983.cel	305931983.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.1.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	"mononuclear cells, blasts"	  	  	"Down syndrome, transient myleoproliferative disorder"	peripheral blood
305932085.cel	organism_part	frozen_sample	  	"mononuclear cells, blasts"	  	  	"Down syndrome, transient myleoproliferative disorder"	peripheral blood	Homo sapiens	male	Labeled38 biotin	synthetic_DNA	biotin	Hyb_38	A-AFFY-33	305932085.cel	305932085.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.1.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	"mononuclear cells, blasts"	  	  	"Down syndrome, transient myleoproliferative disorder"	peripheral blood
305932189.cel	organism_part	frozen_sample	  	"mononuclear cells, blasts"	  	  	"Down syndrome, transient myleoproliferative disorder"	bone marrow	Homo sapiens	male	Labeled39 biotin	synthetic_DNA	biotin	Hyb_39	A-AFFY-33	305932189.cel	305932189.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.1.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	"mononuclear cells, blasts"	  	  	"Down syndrome, transient myleoproliferative disorder"	bone marrow
305932292.cel	organism_part	frozen_sample	  	"mononuclear cells, blasts"	  	  	"Down syndrome, transient myleoproliferative disorder"	bone marrow	Homo sapiens	female	Labeled40 biotin	synthetic_DNA	biotin	Hyb_40	A-AFFY-33	305932292.cel	305932292.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.1.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	"mononuclear cells, blasts"	  	  	"Down syndrome, transient myleoproliferative disorder"	bone marrow
305932389.cel	organism_part	frozen_sample	  	"mononuclear cells, blasts"	  	  	"Down syndrome, transient myleoproliferative disorder"	peripheral blood	Homo sapiens	male	Labeled41 biotin	synthetic_DNA	biotin	Hyb_41	A-AFFY-33	305932389.cel	305932389.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.1.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	"mononuclear cells, blasts"	  	  	"Down syndrome, transient myleoproliferative disorder"	peripheral blood
305932493.cel	organism_part	frozen_sample	  	"mononuclear cells, blasts"	  	  	"Down syndrome, transient myleoproliferative disorder"	bone marrow	Homo sapiens	male	Labeled42 biotin	synthetic_DNA	biotin	Hyb_42	A-AFFY-33	305932493.cel	305932493.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.1.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	"mononuclear cells, blasts"	  	  	"Down syndrome, transient myleoproliferative disorder"	bone marrow
